outcome_id,study,doi,outcome,assessment_stage,ai_availability_at_assessment,assessment_delay,task_item_overlap,transfer_demand,evidence_scope_ai_nonuse,defensible_score_interpretation,coding_source,coding_depth,coding_status,derived_effect_std,derived_ci_low,derived_ci_high,notes,evidence_map_scope,source_url,verification_note
O066,Chakraborty (2026),10.1002/cae.70223,programming assignment Part 1,assisted,available,concurrent,first assignment part,none / assisted programming,not applicable,AI-assisted programming performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,Experiment 2 randomized comparison.,primary-source-verified coding subset,https://doi.org/10.1002/cae.70223,full-text verified for targeted Scopus coverage update
O067,Chakraborty (2026),10.1002/cae.70223,programming assignment Part 2 after withdrawal,post-assistance,removed,immediate subsequent part,different subtask in same assignment sequence,near transfer,AI explicitly withdrawn before Part 2,independent programming performance after assisted exposure,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,Experiment 2: between-group advantage disappears after AI withdrawal.,primary-source-verified coding subset,https://doi.org/10.1002/cae.70223,full-text verified for targeted Scopus coverage update
O068,Park et al. (2025),10.1109/EDUCON62633.2025.11016517,Copilot-assisted C programming task,assisted,available,concurrent,practice programming task,none / assisted coding,not applicable,AI-assisted coding performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1109/EDUCON62633.2025.11016517,full-text verified for targeted Scopus coverage update
O069,Park et al. (2025),10.1109/EDUCON62633.2025.11016517,locked-down independent assessment,post-assistance,removed,course assessment,different C programming problem,independent problem-solving,"internet, IDE and Copilot blocked",independent programming performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,"Within-subject design; report contains some description ambiguity about grouping, retained as caveat.",primary-source-verified coding subset,https://doi.org/10.1109/EDUCON62633.2025.11016517,full-text verified for targeted Scopus coverage update
O070,Chandrasekera et al. (2025),10.1177/14780771241254637,Phase 1 design creativity,assisted,available for treatment group,concurrent,urban furniture design task 1,none / assisted design creativity,not applicable,AI-assisted design creativity,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1177/14780771241254637,full-text verified for targeted Scopus coverage update
O071,Chandrasekera et al. (2025),10.1177/14780771241254637,Phase 2 design creativity,post-assistance,removed for both groups,immediate second phase,similar but distinct urban furniture task,near creative transfer,both groups explicitly worked without AI,independent design creativity,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,Published summary shows a preserved prior-AI-group advantage rather than uniform attenuation.,primary-source-verified coding subset,https://doi.org/10.1177/14780771241254637,full-text verified for targeted Scopus coverage update
O072,Elshall et al. (2026),10.3389/feduc.2026.1834090,AI-supported authentic project performance,assisted,available,course project,authentic project work,none / authentic joint performance,not applicable,AI-assisted authentic performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.3389/feduc.2026.1834090,full-text verified for targeted Scopus coverage update
O073,Elshall et al. (2026),10.3389/feduc.2026.1834090,AI-free conceptual/foundational exam,post-assistance,removed,course end,different conceptual/basic-skills assessment,conceptual/foundational generalization,exam explicitly AI-free,independent foundational/conceptual performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.3389/feduc.2026.1834090,full-text verified for targeted Scopus coverage update
O074,Li et al. (2025),10.1007/s10639-025-13741-z,grading/feedback with GenAI natural-language insights,assisted,available,concurrent,assessment items with AI insights,none / supported professional performance,not applicable,AI-supported educator grading/feedback performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1007/s10639-025-13741-z,full-text verified for targeted Scopus coverage update
O075,Li et al. (2025),10.1007/s10639-025-13741-z,later grading/feedback without AI-powered insights,post-assistance,removed,about one week,new assessment items,near professional transfer,later phase explicitly without AI-powered insights,independent educator assessment performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1007/s10639-025-13741-z,full-text verified for targeted Scopus coverage update
O076,Ates (2026),10.1186/s41239-026-00614-9,immediate argument-quality gain during feedback-supported revision,assisted,available,concurrent,revised scientific argument,none / supported revision performance,not applicable,feedback-supported argument performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,Cluster-randomized four-condition field experiment; analytic N=1176.,primary-source-verified coding subset,https://doi.org/10.1186/s41239-026-00614-9,full-text verified for targeted Scopus coverage update
O077,Ates (2026),10.1186/s41239-026-00614-9,delayed AI-free scientific argument transfer,delayed post-assistance,removed,delayed transfer occasion,new argumentation task,transfer,explicitly AI-free,delayed independent argumentation transfer,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,Direct GenAI vs peer: d=-0.12; reflective and hybrid conditions show positive delayed contrasts.,primary-source-verified coding subset,https://doi.org/10.1186/s41239-026-00614-9,full-text verified for targeted Scopus coverage update
